id,name,center_type,region_id,region_name,municipality,throughput_weight,demand_index,quality_score,opened_year,full_time_counselors,commissioned_counselors,counselor_count,active_clients
CTR-SEO-001,서울 가족센터,가족센터,SEO,서울특별시,서울,0.006199428292041763,1.161,81.3,2015,2,7,9,73
CTR-SEO-002,종로구 가족센터,가족센터,SEO,서울특별시,종로구,0.006059096394476126,1.135,81.2,2016,2,7,9,66
CTR-SEO-003,중구 가족센터,가족센터,SEO,서울특별시,중구,0.008105691972382582,1.48,83.1,2010,2,9,11,85
CTR-SEO-004,용산구 가족센터,가족센터,SEO,서울특별시,용산구,0.004270450596317404,0.8,79.5,2017,2,6,8,70
CTR-SEO-005,성동구 가족센터,가족센터,SEO,서울특별시,성동구,0.006681267034262232,1.251,93.3,2025,2,8,10,89
CTR-SEO-006,광진구 가족센터,가족센터,SEO,서울특별시,광진구,0.005699163143826127,1.067,81.7,2019,2,7,9,71
CTR-SEO-007,동대문구 가족센터,가족센터,SEO,서울특별시,동대문구,0.005269611644690201,0.987,84.8,2008,2,6,8,66
CTR-SEO-008,중랑구 가족센터,가족센터,SEO,서울특별시,중랑구,0.0042227739546986075,0.791,83.4,2021,2,6,8,79
CTR-SEO-009,성북구 가족센터,가족센터,SEO,서울특별시,성북구,0.0037246365018891617,0.698,81.1,2024,2,5,7,57
CTR-SEO-010,강북구 가족센터,가족센터,SEO,서울특별시,강북구,0.0060346037638483955,1.13,81.6,2008,2,7,9,77
CTR-SEO-011,도봉구 가족센터,가족센터,SEO,서울특별시,도봉구,0.004913316722255725,0.92,86.1,2018,2,6,8,81
CTR-SEO-012,노원구 가족센터,가족센터,SEO,서울특별시,노원구,0.0065786468783942224,1.232,86.8,2019,2,7,9,72
CTR-SEO-013,은평구 가족센터,가족센터,SEO,서울특별시,은평구,0.005853996382524399,1.096,85.0,2008,2,7,9,77
CTR-SEO-014,서대문구 가족센터,가족센터,SEO,서울특별시,서대문구,0.005371750588466695,1.006,68,2006,2,6,8,54
CTR-SEO-015,마포구 가족센터,가족센터,SEO,서울특별시,마포구,0.004807180721943428,0.9,84.8,2017,2,6,8,61
CTR-SEO-016,양천구 가족센터,가족센터,SEO,서울특별시,양천구,0.005270526949620812,0.987,79.7,2021,2,6,8,66
CTR-SEO-017,강서구 가족센터,가족센터,SEO,서울특별시,강서구,0.005653741469925179,1.059,85.6,2009,2,7,9,81
CTR-SEO-018,구로구 가족센터,가족센터,SEO,서울특별시,구로구,0.0056841465242257585,1.064,80.8,2011,2,7,9,78
CTR-SEO-019,금천구 가족센터,가족센터,SEO,서울특별시,금천구,0.005514985442425783,1.033,86.4,2016,2,7,9,77
CTR-SEO-020,영등포구 가족센터,가족센터,SEO,서울특별시,영등포구,0.005547182917818193,1.039,84.8,2017,2,7,9,63
CTR-SEO-021,동작구 가족센터,가족센터,SEO,서울특별시,동작구,0.005581451713289309,1.045,85.8,2022,2,7,9,74
CTR-SEO-022,관악구 가족센터,가족센터,SEO,서울특별시,관악구,0.004542691118812738,0.851,91.3,2023,2,6,8,69
CTR-SEO-023,서초구 가족센터,가족센터,SEO,서울특별시,서초구,0.005299297866255167,0.992,94,2022,2,6,8,68
CTR-SEO-024,강남구 가족센터,가족센터,SEO,서울특별시,강남구,0.004954344308703672,0.928,86.7,2021,2,6,8,64
CTR-SEO-025,송파구 가족센터,가족센터,SEO,서울특별시,송파구,0.0037581516478717054,0.704,80.8,2025,2,5,7,66
CTR-SEO-026,강동구 가족센터,가족센터,SEO,서울특별시,강동구,0.0052848785600048825,0.99,80.9,2014,2,6,8,57
CTR-SEO-027,동부권 가족센터,가족센터,SEO,서울특별시,동부권,0.00450421146389099,0.844,87.2,2010,2,6,8,61
CTR-SEO-028,서울 건강가정지원센터 1,건강가정지원센터,SEO,서울특별시,서울,0.005528464279711038,1.035,88.5,2017,2,7,9,79
CTR-SEO-029,서울 건강가정지원센터 2,건강가정지원센터,SEO,서울특별시,서울,0.004154717142761248,0.778,83.1,2023,2,5,7,64
CTR-SEO-030,서울 다문화가족지원센터 3,다문화가족지원센터,SEO,서울특별시,서울,0.00505972860643449,0.948,86.5,2013,2,6,8,65
CTR-BUS-001,부산 가족센터,가족센터,BUS,부산광역시,부산,0.004018304144816922,1.208,78.6,2008,2,5,7,52
CTR-BUS-002,강서구 가족센터,가족센터,BUS,부산광역시,강서구,0.0038610017824352765,1.16,82.9,2023,2,5,7,58
CTR-BUS-003,금정구 가족센터,가족센터,BUS,부산광역시,금정구,0.0035351820748325603,1.062,77.1,2008,2,5,7,63
CTR-BUS-004,기장군 가족센터,가족센터,BUS,부산광역시,기장군,0.004226843412737745,1.27,88.3,2009,2,6,8,64
