counselor_id,center_id,region_id,issue,client_count,standard_count,monitor_count,priority_review_count
CNS-SEO-00001,CTR-SEO-001,SEO,부부갈등,5,4,1,0
CNS-SEO-00001,CTR-SEO-001,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00001,CTR-SEO-001,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00001,CTR-SEO-001,SEO,이혼 전후,1,1,0,0
CNS-SEO-00002,CTR-SEO-001,SEO,부부갈등,5,4,1,0
CNS-SEO-00002,CTR-SEO-001,SEO,부모-자녀 갈등,4,3,1,0
CNS-SEO-00002,CTR-SEO-001,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00002,CTR-SEO-001,SEO,이혼 전후,1,1,0,0
CNS-SEO-00003,CTR-SEO-001,SEO,부부갈등,3,3,0,0
CNS-SEO-00003,CTR-SEO-001,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00003,CTR-SEO-001,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00003,CTR-SEO-001,SEO,이혼 전후,1,1,0,0
CNS-SEO-00004,CTR-SEO-001,SEO,부부갈등,2,2,0,0
CNS-SEO-00004,CTR-SEO-001,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00004,CTR-SEO-001,SEO,기타 가족관계,2,1,1,0
CNS-SEO-00005,CTR-SEO-001,SEO,부부갈등,2,2,0,0
CNS-SEO-00005,CTR-SEO-001,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00005,CTR-SEO-001,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00006,CTR-SEO-001,SEO,부부갈등,3,3,0,0
CNS-SEO-00006,CTR-SEO-001,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00006,CTR-SEO-001,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00007,CTR-SEO-001,SEO,부부갈등,3,3,0,0
CNS-SEO-00007,CTR-SEO-001,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00007,CTR-SEO-001,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00007,CTR-SEO-001,SEO,이혼 전후,1,1,0,0
CNS-SEO-00008,CTR-SEO-001,SEO,부부갈등,2,2,0,0
CNS-SEO-00008,CTR-SEO-001,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00008,CTR-SEO-001,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00009,CTR-SEO-001,SEO,부부갈등,1,1,0,0
CNS-SEO-00009,CTR-SEO-001,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00009,CTR-SEO-001,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00010,CTR-SEO-002,SEO,부부갈등,3,2,1,0
CNS-SEO-00010,CTR-SEO-002,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00010,CTR-SEO-002,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00010,CTR-SEO-002,SEO,이혼 전후,1,1,0,0
CNS-SEO-00011,CTR-SEO-002,SEO,부부갈등,5,4,1,0
CNS-SEO-00011,CTR-SEO-002,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00011,CTR-SEO-002,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00011,CTR-SEO-002,SEO,이혼 전후,1,1,0,0
CNS-SEO-00012,CTR-SEO-002,SEO,부부갈등,2,2,0,0
CNS-SEO-00012,CTR-SEO-002,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00012,CTR-SEO-002,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00013,CTR-SEO-002,SEO,부부갈등,2,2,0,0
CNS-SEO-00013,CTR-SEO-002,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00013,CTR-SEO-002,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00014,CTR-SEO-002,SEO,부부갈등,2,2,0,0
CNS-SEO-00014,CTR-SEO-002,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00014,CTR-SEO-002,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00015,CTR-SEO-002,SEO,부부갈등,3,2,1,0
CNS-SEO-00015,CTR-SEO-002,SEO,부모-자녀 갈등,2,1,1,0
CNS-SEO-00015,CTR-SEO-002,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00016,CTR-SEO-002,SEO,부부갈등,3,3,0,0
CNS-SEO-00016,CTR-SEO-002,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00016,CTR-SEO-002,SEO,기타 가족관계,2,1,1,0
CNS-SEO-00017,CTR-SEO-002,SEO,부부갈등,2,2,0,0
CNS-SEO-00017,CTR-SEO-002,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00017,CTR-SEO-002,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00018,CTR-SEO-002,SEO,부부갈등,4,3,1,0
CNS-SEO-00018,CTR-SEO-002,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00018,CTR-SEO-002,SEO,기타 가족관계,4,3,1,0
CNS-SEO-00019,CTR-SEO-003,SEO,부부갈등,4,4,0,0
CNS-SEO-00019,CTR-SEO-003,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00019,CTR-SEO-003,SEO,기타 가족관계,4,4,0,0
CNS-SEO-00019,CTR-SEO-003,SEO,이혼 전후,1,1,0,0
CNS-SEO-00020,CTR-SEO-003,SEO,부부갈등,3,2,1,0
CNS-SEO-00020,CTR-SEO-003,SEO,부모-자녀 갈등,3,2,1,0
CNS-SEO-00020,CTR-SEO-003,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00020,CTR-SEO-003,SEO,이혼 전후,1,1,0,0
CNS-SEO-00021,CTR-SEO-003,SEO,부부갈등,4,3,1,0
CNS-SEO-00021,CTR-SEO-003,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00021,CTR-SEO-003,SEO,기타 가족관계,4,4,0,0
CNS-SEO-00022,CTR-SEO-003,SEO,부부갈등,3,2,1,0
CNS-SEO-00022,CTR-SEO-003,SEO,부모-자녀 갈등,2,1,1,0
CNS-SEO-00022,CTR-SEO-003,SEO,기타 가족관계,3,2,1,0
CNS-SEO-00023,CTR-SEO-003,SEO,부부갈등,1,1,0,0
CNS-SEO-00023,CTR-SEO-003,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00023,CTR-SEO-003,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00024,CTR-SEO-003,SEO,부부갈등,2,2,0,0
CNS-SEO-00024,CTR-SEO-003,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00024,CTR-SEO-003,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00025,CTR-SEO-003,SEO,부부갈등,1,1,0,0
CNS-SEO-00025,CTR-SEO-003,SEO,부모-자녀 갈등,1,1,0,0
CNS-SEO-00025,CTR-SEO-003,SEO,기타 가족관계,1,1,0,0
CNS-SEO-00026,CTR-SEO-003,SEO,부부갈등,3,2,1,0
CNS-SEO-00026,CTR-SEO-003,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00026,CTR-SEO-003,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00027,CTR-SEO-003,SEO,부부갈등,3,3,0,0
CNS-SEO-00027,CTR-SEO-003,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00027,CTR-SEO-003,SEO,기타 가족관계,2,2,0,0
CNS-SEO-00028,CTR-SEO-003,SEO,부부갈등,3,2,1,0
CNS-SEO-00028,CTR-SEO-003,SEO,부모-자녀 갈등,2,2,0,0
CNS-SEO-00028,CTR-SEO-003,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00028,CTR-SEO-003,SEO,이혼 전후,1,1,0,0
CNS-SEO-00029,CTR-SEO-003,SEO,부부갈등,3,2,1,0
CNS-SEO-00029,CTR-SEO-003,SEO,부모-자녀 갈등,3,3,0,0
CNS-SEO-00029,CTR-SEO-003,SEO,기타 가족관계,3,3,0,0
CNS-SEO-00029,CTR-SEO-003,SEO,이혼 전후,1,1,0,0
