id,display_name,center_id,center_name,region_id,employment_type,tenure_years,weekly_capacity,active_clients,utilization_rate,supervisor_eligible,training_completion_rate,primary_specialty
CNS-SEO-00001,상담사 SEO-01,CTR-SEO-001,서울 가족센터,SEO,상근,5.4,6,14,93.1,False,87.6,부모-자녀 갈등
CNS-SEO-00002,상담사 SEO-02,CTR-SEO-001,서울 가족센터,SEO,상근,0.3,6,14,77.0,False,75.2,이혼 전후
CNS-SEO-00003,상담사 SEO-03,CTR-SEO-001,서울 가족센터,SEO,위촉,11.2,3,9,70.9,False,95.1,부부갈등
CNS-SEO-00004,상담사 SEO-04,CTR-SEO-001,서울 가족센터,SEO,위촉,9.7,3,6,79.0,True,75.6,기타 가족관계
CNS-SEO-00005,상담사 SEO-05,CTR-SEO-001,서울 가족센터,SEO,위촉,5.4,3,5,62.8,False,85.1,개인 정서·위기
CNS-SEO-00006,상담사 SEO-06,CTR-SEO-001,서울 가족센터,SEO,위촉,5.2,3,7,64.0,False,89.3,부모-자녀 갈등
CNS-SEO-00007,상담사 SEO-07,CTR-SEO-001,서울 가족센터,SEO,위촉,9.9,3,9,57.4,True,91.2,이혼 전후
CNS-SEO-00008,상담사 SEO-08,CTR-SEO-001,서울 가족센터,SEO,위촉,6.7,3,6,62.6,False,85.2,부부갈등
CNS-SEO-00009,상담사 SEO-09,CTR-SEO-001,서울 가족센터,SEO,위촉,2.8,3,3,52.5,False,91.2,기타 가족관계
CNS-SEO-00010,상담사 SEO-01,CTR-SEO-002,종로구 가족센터,SEO,상근,3.4,6,9,78.2,False,89.7,부부갈등
CNS-SEO-00011,상담사 SEO-02,CTR-SEO-002,종로구 가족센터,SEO,상근,4.3,6,13,87.3,False,81.0,기타 가족관계
CNS-SEO-00012,상담사 SEO-03,CTR-SEO-002,종로구 가족센터,SEO,위촉,6.7,3,6,70.7,False,89.0,개인 정서·위기
CNS-SEO-00013,상담사 SEO-04,CTR-SEO-002,종로구 가족센터,SEO,위촉,8.0,3,5,57.5,True,78.0,부모-자녀 갈등
CNS-SEO-00014,상담사 SEO-05,CTR-SEO-002,종로구 가족센터,SEO,위촉,4.1,3,4,62.4,False,81.9,이혼 전후
CNS-SEO-00015,상담사 SEO-06,CTR-SEO-002,종로구 가족센터,SEO,위촉,2.2,3,7,78.1,False,86.7,부부갈등
CNS-SEO-00016,상담사 SEO-07,CTR-SEO-002,종로구 가족센터,SEO,위촉,9.1,3,7,88.9,False,89.7,기타 가족관계
CNS-SEO-00017,상담사 SEO-08,CTR-SEO-002,종로구 가족센터,SEO,위촉,4.0,3,4,62.0,False,74.7,개인 정서·위기
CNS-SEO-00018,상담사 SEO-09,CTR-SEO-002,종로구 가족센터,SEO,위촉,6.0,3,11,87.5,False,81.3,부모-자녀 갈등
CNS-SEO-00019,상담사 SEO-01,CTR-SEO-003,중구 가족센터,SEO,상근,0.5,6,12,87.1,False,85.2,개인 정서·위기
CNS-SEO-00020,상담사 SEO-02,CTR-SEO-003,중구 가족센터,SEO,상근,9.8,6,10,65.4,True,98.2,부모-자녀 갈등
CNS-SEO-00021,상담사 SEO-03,CTR-SEO-003,중구 가족센터,SEO,위촉,6.2,3,11,70.0,False,100,이혼 전후
CNS-SEO-00022,상담사 SEO-04,CTR-SEO-003,중구 가족센터,SEO,위촉,2.9,3,8,71.8,False,76.1,부부갈등
CNS-SEO-00023,상담사 SEO-05,CTR-SEO-003,중구 가족센터,SEO,위촉,8.6,3,3,80.4,False,90.3,기타 가족관계
CNS-SEO-00024,상담사 SEO-06,CTR-SEO-003,중구 가족센터,SEO,위촉,8.3,3,5,58.4,False,100,개인 정서·위기
CNS-SEO-00025,상담사 SEO-07,CTR-SEO-003,중구 가족센터,SEO,위촉,5.5,3,3,83.0,False,84.2,부모-자녀 갈등
CNS-SEO-00026,상담사 SEO-08,CTR-SEO-003,중구 가족센터,SEO,위촉,5.2,3,7,82.7,False,100,이혼 전후
CNS-SEO-00027,상담사 SEO-09,CTR-SEO-003,중구 가족센터,SEO,위촉,7.9,3,7,75.1,False,82.5,부부갈등
CNS-SEO-00028,상담사 SEO-10,CTR-SEO-003,중구 가족센터,SEO,위촉,2.6,3,9,57.8,False,85.7,기타 가족관계
CNS-SEO-00029,상담사 SEO-11,CTR-SEO-003,중구 가족센터,SEO,위촉,5.6,3,10,70.1,False,93.3,개인 정서·위기
CNS-SEO-00030,상담사 SEO-01,CTR-SEO-004,용산구 가족센터,SEO,상근,5.8,6,9,64.8,False,82.7,부부갈등
CNS-SEO-00031,상담사 SEO-02,CTR-SEO-004,용산구 가족센터,SEO,상근,3.9,6,12,69.8,False,100,기타 가족관계
CNS-SEO-00032,상담사 SEO-03,CTR-SEO-004,용산구 가족센터,SEO,위촉,10.6,3,9,71.3,True,92.9,개인 정서·위기
