id,name,short_name,family_center_count,healthy_center_count,multicultural_center_count,center_count,population,households,annual_service_users_2022,map_x,map_y
SEO,서울특별시,서울,27,2,1,30,9384512,4298420,1165014,3,1
BUS,부산광역시,부산,10,1,1,12,3279604,1480828,177951,5,6
DGU,대구광역시,대구,10,0,1,11,2379188,1047270,392715,5,5
INC,인천광역시,인천,10,0,1,11,3025950,1282363,364082,2,2
GWJ,광주광역시,광주,5,0,0,5,1457090,639311,142028,2,6
DJN,대전광역시,대전,4,0,0,4,1470336,665786,73620,3,4
USN,울산광역시,울산,5,0,0,5,1107432,467842,153633,6,5
SEJ,세종특별자치시,세종,2,0,0,2,386261,158757,239072,3,3
GYE,경기도,경기,29,1,2,32,13815367,5722843,1307265,3,2
GAN,강원특별자치도,강원,18,1,0,19,1528014,708894,352937,4,2
CBK,충청북도,충북,11,0,0,11,1641481,741403,248468,4,3
CNM,충청남도,충남,14,0,1,15,2216332,987731,429665,2,4
JBK,전북특별자치도,전북,13,1,1,15,1768491,802546,400331,2,5
JNM,전라남도,전남,22,0,1,23,1776668,808812,705210,2,7
GBK,경상북도,경북,20,1,1,22,2589880,1192294,726369,5,4
GNM,경상남도,경남,20,1,1,22,3271148,1436738,614043,4,6
JEJ,제주특별자치도,제주,3,1,1,5,676767,286325,75688,2,9
